
Sales Person,Geography,Product,Date,Amount,Boxes,
Beverie Moffet,Australia,Manuka Honey Choco,01/01/2021,"$3,906 ",131,
Husein Augar,Australia,70% Dark Bites,01/01/2021,$560 ,676,
Husein Augar,New Zealand,Fruit & Nut Bars,01/01/2021,"$3,647 ",7,
Brien Boise,USA,Eclairs,01/01/2021,"$3,038 ",539,
Jan Morforth,USA,Raspberry Choco,01/01/2021,"$4,760 ",196,
Dennison Crosswaite,New Zealand,Organic Choco Syrup,01/01/2021,"$1,750 ",138,
Husein Augar,UK,After Nines,01/01/2021,"$10,241 ",377,
Dennison Crosswaite,UK,99% Dark & Pure,01/01/2021,"$3,500 ",46,
Curtice Advani,UK,Peanut Butter Cubes,01/01/2021,"$1,652 ",221,
Karlen McCaffrey,UK,Milk Bars,01/01/2021,"$5,257 ",45,
Husein Augar,India,50% Dark Bites,01/01/2021,"$3,360 ",207,
Karlen McCaffrey,USA,Raspberry Choco,01/01/2021,"$7,616 ",208,
Curtice Advani,New Zealand,Organic Choco Syrup,01/01/2021,$371 ,31,
Husein Augar,USA,Organic Choco Syrup,01/01/2021,"$1,743 ",77,
Husein Augar,Australia,Fruit & Nut Bars,01/01/2021,"$6,251 ",212,
Dennison Crosswaite,India,Caramel Stuffed Bars,04/01/2021,"$3,717 ",174,
Kaine Padly,India,Fruit & Nut Bars,04/01/2021,"$5,712 ",537,
Curtice Advani,UK,Eclairs,04/01/2021,"$1,862 ",334,
Dotty Strutley,India,Orange Choco,04/01/2021,"$4,473 ",373,
Kaine Padly,USA,After Nines,04/01/2021,"$5,509 ",39,
Wilone O'Kielt,UK,Baker's Choco Chips,04/01/2021,"$4,221 ",103,
Dotty Strutley,Australia,Drinking Coco,04/01/2021,$707 ,203,
Gunar Cockshoot,India,Mint Chip Choco,04/01/2021,"$1,603 ",73,
Husein Augar,New Zealand,Orange Choco,04/01/2021,"$11,053 ",217,
Rafaelita Blaksland,USA,Baker's Choco Chips,04/01/2021,"$5,740 ",109,
Dennison Crosswaite,New Zealand,99% Dark & Pure,04/01/2021,"$6,958 ",427,
Husein Augar,India,Raspberry Choco,04/01/2021,"$2,478 ",63,
Gunar Cockshoot,UK,Baker's Choco Chips,04/01/2021,"$1,680 ",609,
Gunar Cockshoot,India,Choco Coated Almonds,04/01/2021,"$3,178 ",119,
Gunar Cockshoot,UK,Smooth Sliky Salty,04/01/2021,"$5,131 ",112,
Beverie Moffet,UK,Almond Choco,04/01/2021,"$3,633 ",212,
Madelene Upcott,USA,Fruit & Nut Bars,04/01/2021,"$7,819 ",247,
Marney O'Breen,India,Orange Choco,04/01/2021,"$1,064 ",138,
Beverie Moffet,New Zealand,Organic Choco Syrup,04/01/2021,"$3,465 ",259,
Dennison Crosswaite,India,After Nines,04/01/2021,"$1,148 ",240,
Beverie Moffet,India,Fruit & Nut Bars,04/01/2021,$819 ,306,
Marney O'Breen,Australia,Spicy Special Slims,04/01/2021,"$2,030 ",177,
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,04/01/2021,$147 ,169,
Oby Sorrel,India,Mint Chip Choco,04/01/2021,"$1,295 ",17,
Kaine Padly,Australia,Orange Choco,04/01/2021,$763 ,387,
Gigi Bohling,Australia,Baker's Choco Chips,04/01/2021,"$4,305 ",387,
Husein Augar,USA,Manuka Honey Choco,04/01/2021,"$4,851 ",35,
Ches Bonnell,India,99% Dark & Pure,04/01/2021,$987 ,271,
Kaine Padly,Canada,85% Dark Bars,04/01/2021,"$4,704 ",266,
Karlen McCaffrey,Canada,Almond Choco,04/01/2021,"$3,031 ",18,
Dennison Crosswaite,Canada,Peanut Butter Cubes,04/01/2021,$679 ,88,
Gunar Cockshoot,Australia,Organic Choco Syrup,04/01/2021,"$6,804 ",455,
Dotty Strutley,India,Choco Coated Almonds,04/01/2021,$357 ,210,
Wilone O'Kielt,UK,Spicy Special Slims,04/01/2021,"$3,815 ",424,
Beverie Moffet,UK,99% Dark & Pure,04/01/2021,"$5,670 ",122,
Karlen McCaffrey,Canada,White Choc,04/01/2021,"$3,010 ",155,
Ches Bonnell,Australia,Manuka Honey Choco,04/01/2021,$182 ,177,
Barr Faughny,USA,Drinking Coco,04/01/2021,"$3,080 ",73,
Ches Bonnell,Canada,Caramel Stuffed Bars,04/01/2021,"$3,101 ",643,
Madelene Upcott,Australia,Eclairs,04/01/2021,"$2,233 ",132,
Madelene Upcott,USA,Mint Chip Choco,04/01/2021,"$3,507 ",74,
Gigi Bohling,Australia,Raspberry Choco,04/01/2021,"$8,554 ",403,
Dotty Strutley,India,Organic Choco Syrup,04/01/2021,"$3,479 ",239,
Curtice Advani,UK,Baker's Choco Chips,04/01/2021,"$1,225 ",348,
Rafaelita Blaksland,India,Eclairs,04/01/2021,$49 ,840,
Husein Augar,New Zealand,Baker's Choco Chips,04/01/2021,"$4,487 ",175,
Dotty Strutley,India,Spicy Special Slims,04/01/2021,"$1,652 ",240,
Wilone O'Kielt,India,Organic Choco Syrup,05/01/2021,"$10,262 ",185,
Oby Sorrel,Australia,Mint Chip Choco,05/01/2021,"$5,173 ",217,
Jan Morforth,New Zealand,White Choc,05/01/2021,"$2,296 ",910,
Rafaelita Blaksland,Canada,50% Dark Bites,05/01/2021,$798 ,212,
Madelene Upcott,India,White Choc,05/01/2021,$910 ,231,
Kelci Walkden,Canada,85% Dark Bars,05/01/2021,"$6,510 ",251,
Marney O'Breen,New Zealand,Manuka Honey Choco,05/01/2021,"$3,892 ",213,
Oby Sorrel,India,Spicy Special Slims,05/01/2021,"$4,704 ",53,
Gunar Cockshoot,New Zealand,Baker's Choco Chips,05/01/2021,"$4,095 ",188,
Gunar Cockshoot,Canada,Organic Choco Syrup,05/01/2021,"$11,466 ",315,
Dotty Strutley,India,99% Dark & Pure,05/01/2021,"$2,324 ",178,
Wilone O'Kielt,Canada,Baker's Choco Chips,05/01/2021,"$5,068 ",128,
Wilone O'Kielt,New Zealand,Almond Choco,05/01/2021,"$8,855 ",436,
Barr Faughny,India,Drinking Coco,05/01/2021,"$4,872 ",175,
Wilone O'Kielt,Australia,Peanut Butter Cubes,05/01/2021,"$8,673 ",96,
Curtice Advani,Australia,Orange Choco,05/01/2021,"$4,340 ",79,
Barr Faughny,New Zealand,50% Dark Bites,05/01/2021,$35 ,910,
Wilone O'Kielt,Australia,85% Dark Bars,05/01/2021,"$1,659 ",43,
Gunar Cockshoot,Canada,Spicy Special Slims,05/01/2021,"$4,774 ",345,
Wilone O'Kielt,New Zealand,Milk Bars,05/01/2021,$637 ,61,
Barr Faughny,New Zealand,Drinking Coco,05/01/2021,"$2,828 ",208,
Kaine Padly,India,Spicy Special Slims,05/01/2021,"$15,288 ",139,
Gigi Bohling,Canada,85% Dark Bars,05/01/2021,$952 ,627,
Marney O'Breen,Australia,Mint Chip Choco,05/01/2021,"$2,632 ",840,
Kaine Padly,Canada,Raspberry Choco,05/01/2021,"$8,736 ",82,
Brien Boise,Australia,Baker's Choco Chips,05/01/2021,$805 ,217,
Rafaelita Blaksland,Australia,Peanut Butter Cubes,05/01/2021,"$8,316 ",138,
Marney O'Breen,India,Milk Bars,05/01/2021,"$2,072 ",300,
Curtice Advani,New Zealand,Orange Choco,05/01/2021,$938 ,16,
Madelene Upcott,Canada,Milk Bars,05/01/2021,"$4,592 ",96,
Dennison Crosswaite,Australia,Drinking Coco,05/01/2021,"$8,008 ",338,
Madelene Upcott,India,Organic Choco Syrup,05/01/2021,"$8,505 ",71,
Wilone O'Kielt,Australia,Spicy Special Slims,05/01/2021,"$8,463 ",183,
Marney O'Breen,New Zealand,Mint Chip Choco,05/01/2021,"$6,405 ",119,
Gigi Bohling,New Zealand,70% Dark Bites,06/01/2021,"$2,723 ",444,
Curtice Advani,New Zealand,After Nines,06/01/2021,$595 ,115,
Gigi Bohling,USA,99% Dark & Pure,06/01/2021,"$5,810 ",356,
Marney O'Breen,Australia,White Choc,06/01/2021,"$10,206 ",58,
Jan Morforth,Canada,Drinking Coco,06/01/2021,"$1,190 ",189,
Dotty Strutley,UK,Drinking Coco,06/01/2021,"$4,410 ",141,
Jan Morforth,Australia,Eclairs,06/01/2021,"$3,703 ",135,
Curtice Advani,UK,70% Dark Bites,06/01/2021,"$4,865 ",106,
Andria Kimpton,New Zealand,Raspberry Choco,06/01/2021,"$7,294 ",149,
Gigi Bohling,New Zealand,Almond Choco,06/01/2021,"$3,388 ",266,
Marney O'Breen,India,Manuka Honey Choco,06/01/2021,$581 ,161,
Brien Boise,Canada,Eclairs,06/01/2021,$875 ,207,
Husein Augar,UK,99% Dark & Pure,06/01/2021,"$2,331 ",625,
Ches Bonnell,UK,After Nines,06/01/2021,$259 ,486,
Husein Augar,USA,Smooth Sliky Salty,06/01/2021,"$11,473 ",251,
Oby Sorrel,USA,Raspberry Choco,06/01/2021,"$1,799 ",178,
Dennison Crosswaite,Australia,Baker's Choco Chips,07/01/2021,$882 ,1050,
Karlen McCaffrey,India,85% Dark Bars,07/01/2021,"$5,306 ",217,
Beverie Moffet,India,Smooth Sliky Salty,07/01/2021,"$7,210 ",30,
Dotty Strutley,New Zealand,Almond Choco,07/01/2021,$602 ,559,
Gunar Cockshoot,Australia,Almond Choco,07/01/2021,"$2,163 ",85,
Jan Morforth,Canada,Fruit & Nut Bars,07/01/2021,"$1,813 ",64,
Brien Boise,USA,70% Dark Bites,07/01/2021,"$8,253 ",88,
Kelci Walkden,Canada,Orange Choco,07/01/2021,$175 ,166,
Dennison Crosswaite,UK,Baker's Choco Chips,07/01/2021,"$3,535 ",83,
Karlen McCaffrey,India,Organic Choco Syrup,07/01/2021,"$6,888 ",840,
Rafaelita Blaksland,India,Peanut Butter Cubes,07/01/2021,"$5,845 ",75,
Andria Kimpton,Australia,Almond Choco,07/01/2021,"$9,590 ",414,
Marney O'Breen,Australia,50% Dark Bites,07/01/2021,$938 ,328,
Jan Morforth,Canada,Raspberry Choco,07/01/2021,"$6,251 ",220,
Marney O'Breen,Canada,Almond Choco,07/01/2021,$126 ,315,
Curtice Advani,Canada,Raspberry Choco,07/01/2021,$189 ,101,
Rafaelita Blaksland,Canada,99% Dark & Pure,07/01/2021,"$2,163 ",573,
Dotty Strutley,Canada,Manuka Honey Choco,07/01/2021,"$7,784 ",100,
Madelene Upcott,Canada,Choco Coated Almonds,08/01/2021,"$3,703 ",511,
Brien Boise,UK,After Nines,08/01/2021,"$1,428 ",220,
Dennison Crosswaite,Australia,70% Dark Bites,08/01/2021,$91 ,10,
Barr Faughny,Canada,After Nines,08/01/2021,"$1,561 ",505,
Andria Kimpton,UK,Choco Coated Almonds,08/01/2021,$532 ,155,
Karlen McCaffrey,Australia,After Nines,08/01/2021,"$4,284 ",275,
Rafaelita Blaksland,Australia,White Choc,08/01/2021,$322 ,296,
Barr Faughny,USA,70% Dark Bites,08/01/2021,"$2,576 ",48,
Oby Sorrel,UK,Choco Coated Almonds,08/01/2021,"$1,659 ",217,
Karlen McCaffrey,Australia,Drinking Coco,08/01/2021,"$4,214 ",135,
Dotty Strutley,India,Smooth Sliky Salty,08/01/2021,"$2,170 ",148,
Ches Bonnell,India,Organic Choco Syrup,08/01/2021,$630 ,41,
Karlen McCaffrey,USA,Almond Choco,08/01/2021,"$3,689 ",82,
Jan Morforth,Canada,Almond Choco,08/01/2021,$805 ,241,
Barr Faughny,UK,Smooth Sliky Salty,08/01/2021,"$1,449 ",123,
Wilone O'Kielt,UK,Manuka Honey Choco,08/01/2021,"$1,554 ",320,
Oby Sorrel,Canada,50% Dark Bites,08/01/2021,"$2,366 ",89,
Dennison Crosswaite,USA,Drinking Coco,08/01/2021,$518 ,389,
Karlen McCaffrey,USA,Baker's Choco Chips,08/01/2021,"$1,911 ",700,
Marney O'Breen,Australia,Drinking Coco,08/01/2021,"$8,974 ",16,
Marney O'Breen,India,Choco Coated Almonds,08/01/2021,"$6,580 ",182,
Gigi Bohling,Canada,70% Dark Bites,08/01/2021,"$1,953 ",25,
Wilone O'Kielt,Canada,Smooth Sliky Salty,08/01/2021,"$1,498 ",25,
Curtice Advani,Australia,Caramel Stuffed Bars,08/01/2021,"$7,749 ",177,
Brien Boise,India,White Choc,08/01/2021,"$9,975 ",171,
Dotty Strutley,UK,Mint Chip Choco,11/01/2021,"$8,911 ",12,
Marney O'Breen,Australia,Milk Bars,11/01/2021,"$1,295 ",27,
Marney O'Breen,Australia,Smooth Sliky Salty,11/01/2021,"$1,932 ",28,
Jan Morforth,New Zealand,Fruit & Nut Bars,11/01/2021,$112 ,57,
Dotty Strutley,Canada,85% Dark Bars,11/01/2021,"$4,823 ",103,
Dennison Crosswaite,Australia,Orange Choco,11/01/2021,"$2,968 ",210,
Dotty Strutley,UK,Fruit & Nut Bars,11/01/2021,"$5,411 ",240,
Wilone O'Kielt,USA,Eclairs,11/01/2021,$98 ,288,
Kaine Padly,Australia,Milk Bars,11/01/2021,"$2,576 ",99,
Kaine Padly,Australia,Almond Choco,11/01/2021,"$3,934 ",607,
Andria Kimpton,Canada,After Nines,11/01/2021,"$3,206 ",153,
Kaine Padly,UK,After Nines,11/01/2021,"$5,992 ",136,
Curtice Advani,USA,Smooth Sliky Salty,11/01/2021,$77 ,75,
Beverie Moffet,Australia,50% Dark Bites,11/01/2021,"$5,558 ",91,
Kaine Padly,Canada,Peanut Butter Cubes,11/01/2021,"$2,548 ",227,
Karlen McCaffrey,UK,50% Dark Bites,11/01/2021,$973 ,264,
Karlen McCaffrey,Australia,Caramel Stuffed Bars,11/01/2021,"$3,801 ",640,
Marney O'Breen,New Zealand,Fruit & Nut Bars,11/01/2021,"$6,867 ",770,
Karlen McCaffrey,India,After Nines,11/01/2021,"$2,317 ",276,
Madelene Upcott,UK,50% Dark Bites,11/01/2021,$462 ,147,
Wilone O'Kielt,Canada,Raspberry Choco,11/01/2021,"$1,022 ",7,
Oby Sorrel,USA,Caramel Stuffed Bars,11/01/2021,"$5,068 ",227,
Dennison Crosswaite,USA,Fruit & Nut Bars,11/01/2021,"$9,793 ",106,
Andria Kimpton,Australia,Smooth Sliky Salty,11/01/2021,"$7,210 ",219,
Jan Morforth,Australia,Manuka Honey Choco,11/01/2021,"$4,340 ",413,
Brien Boise,India,Organic Choco Syrup,11/01/2021,"$9,226 ",65,
Barr Faughny,New Zealand,Orange Choco,12/01/2021,"$1,932 ",129,
Husein Augar,Australia,50% Dark Bites,12/01/2021,"$1,337 ",133,
Gigi Bohling,Canada,Spicy Special Slims,12/01/2021,"$1,771 ",125,
Jan Morforth,India,Mint Chip Choco,12/01/2021,"$4,690 ",72,
Andria Kimpton,UK,Orange Choco,12/01/2021,"$10,241 ",243,
Barr Faughny,UK,Peanut Butter Cubes,12/01/2021,"$4,907 ",275,
Curtice Advani,USA,50% Dark Bites,12/01/2021,"$5,817 ",119,
Dotty Strutley,USA,After Nines,12/01/2021,"$2,527 ",277,
Gigi Bohling,New Zealand,Choco Coated Almonds,12/01/2021,"$4,053 ",23,
Wilone O'Kielt,USA,Baker's Choco Chips,12/01/2021,$63 ,263,
Marney O'Breen,Canada,White Choc,12/01/2021,"$6,559 ",619,
Curtice Advani,Canada,After Nines,12/01/2021,"$4,921 ",770,
Gunar Cockshoot,Canada,Mint Chip Choco,12/01/2021,"$10,738 ",135,
Gunar Cockshoot,New Zealand,Almond Choco,12/01/2021,"$7,441 ",8,
Gigi Bohling,New Zealand,99% Dark & Pure,12/01/2021,"$6,244 ",27,
Gigi Bohling,UK,Organic Choco Syrup,12/01/2021,"$9,625 ",138,
Kelci Walkden,USA,Peanut Butter Cubes,12/01/2021,"$2,303 ",194,
Andria Kimpton,UK,Baker's Choco Chips,12/01/2021,$406 ,94,
Kaine Padly,UK,Fruit & Nut Bars,12/01/2021,"$6,531 ",185,
Wilone O'Kielt,USA,Fruit & Nut Bars,12/01/2021,"$2,954 ",137,
Andria Kimpton,Canada,Peanut Butter Cubes,12/01/2021,"$2,121 ",204,
Barr Faughny,New Zealand,Smooth Sliky Salty,12/01/2021,"$5,026 ",222,
Gunar Cockshoot,India,White Choc,12/01/2021,"$1,673 ",410,
Beverie Moffet,New Zealand,Choco Coated Almonds,13/01/2021,"$1,337 ",700,
Andria Kimpton,India,Mint Chip Choco,13/01/2021,"$4,795 ",56,
Marney O'Breen,New Zealand,Milk Bars,13/01/2021,$224 ,185,
Rafaelita Blaksland,Australia,Caramel Stuffed Bars,13/01/2021,"$1,708 ",21,
Wilone O'Kielt,New Zealand,Eclairs,13/01/2021,"$1,463 ",577,
Karlen McCaffrey,Canada,Milk Bars,13/01/2021,$553 ,65,
Kelci Walkden,India,Smooth Sliky Salty,13/01/2021,"$7,812 ",265,
Brien Boise,New Zealand,White Choc,13/01/2021,"$9,149 ",117,
Jan Morforth,UK,Drinking Coco,13/01/2021,"$3,500 ",469,
Madelene Upcott,UK,Almond Choco,13/01/2021,"$4,417 ",440,
Brien Boise,USA,Smooth Sliky Salty,13/01/2021,"$4,487 ",224,
Jan Morforth,Australia,Smooth Sliky Salty,13/01/2021,"$3,444 ",24,
Dennison Crosswaite,Canada,99% Dark & Pure,14/01/2021,"$4,907 ",275,
Gunar Cockshoot,New Zealand,Raspberry Choco,14/01/2021,"$1,631 ",94,
Gunar Cockshoot,Canada,Eclairs,14/01/2021,"$4,949 ",329,
Gigi Bohling,UK,Drinking Coco,14/01/2021,"$11,004 ",397,
Barr Faughny,India,Caramel Stuffed Bars,14/01/2021,"$7,329 ",390,
Husein Augar,India,Baker's Choco Chips,14/01/2021,"$1,295 ",455,
Oby Sorrel,UK,Drinking Coco,14/01/2021,"$3,325 ",567,
Beverie Moffet,New Zealand,Milk Bars,14/01/2021,"$6,741 ",479,
Madelene Upcott,USA,Choco Coated Almonds,14/01/2021,"$1,925 ",174,
Madelene Upcott,New Zealand,Smooth Sliky Salty,15/01/2021,"$2,408 ",499,
Dennison Crosswaite,Australia,50% Dark Bites,15/01/2021,"$6,328 ",210,
Ches Bonnell,USA,70% Dark Bites,15/01/2021,"$9,583 ",469,
Gigi Bohling,Canada,After Nines,15/01/2021,"$5,264 ",249,
Curtice Advani,India,Almond Choco,15/01/2021,"$2,842 ",411,
Kelci Walkden,New Zealand,70% Dark Bites,15/01/2021,"$3,458 ",338,
Dennison Crosswaite,Canada,70% Dark Bites,15/01/2021,"$7,672 ",840,
Dotty Strutley,Australia,50% Dark Bites,18/01/2021,$35 ,51,
Madelene Upcott,Australia,Choco Coated Almonds,18/01/2021,"$4,039 ",114,
Brien Boise,UK,Mint Chip Choco,18/01/2021,"$10,969 ",531,
Curtice Advani,Canada,Orange Choco,18/01/2021,"$7,028 ",53,
Kaine Padly,Canada,Fruit & Nut Bars,18/01/2021,"$5,670 ",84,
Gunar Cockshoot,Australia,Drinking Coco,18/01/2021,"$1,645 ",100,
Barr Faughny,Australia,Almond Choco,18/01/2021,"$2,044 ",408,
Ches Bonnell,India,Choco Coated Almonds,18/01/2021,"$4,690 ",353,
Wilone O'Kielt,Australia,Caramel Stuffed Bars,18/01/2021,"$5,670 ",136,
Brien Boise,Australia,Choco Coated Almonds,19/01/2021,"$4,914 ",339,
Ches Bonnell,India,Raspberry Choco,19/01/2021,"$3,052 ",245,
Rafaelita Blaksland,Australia,Almond Choco,19/01/2021,"$3,976 ",352,
Andria Kimpton,Canada,99% Dark & Pure,19/01/2021,"$4,039 ",118,
Rafaelita Blaksland,India,Smooth Sliky Salty,19/01/2021,"$6,286 ",518,
Oby Sorrel,USA,50% Dark Bites,19/01/2021,"$7,007 ",595,
Brien Boise,Australia,Raspberry Choco,19/01/2021,"$1,890 ",287,
Marney O'Breen,Canada,Drinking Coco,19/01/2021,"$2,975 ",201,
Rafaelita Blaksland,USA,Choco Coated Almonds,19/01/2021,"$1,449 ",37,
Beverie Moffet,Canada,Manuka Honey Choco,19/01/2021,"$4,578 ",251,
Ches Bonnell,USA,White Choc,19/01/2021,"$1,449 ",157,
Gunar Cockshoot,USA,85% Dark Bars,19/01/2021,$693 ,85,
Rafaelita Blaksland,India,After Nines,19/01/2021,"$7,322 ",165,
Rafaelita Blaksland,New Zealand,50% Dark Bites,19/01/2021,"$2,226 ",241,
Rafaelita Blaksland,USA,Fruit & Nut Bars,19/01/2021,"$7,763 ",355,
Gunar Cockshoot,India,Caramel Stuffed Bars,19/01/2021,$322 ,238,
Karlen McCaffrey,Canada,Organic Choco Syrup,19/01/2021,"$9,219 ",263,
Jan Morforth,Australia,Orange Choco,19/01/2021,"$2,926 ",259,
Gunar Cockshoot,Australia,Fruit & Nut Bars,19/01/2021,"$5,831 ",135,
Marney O'Breen,UK,Manuka Honey Choco,19/01/2021,$798 ,163,
Jan Morforth,Canada,Choco Coated Almonds,19/01/2021,"$3,094 ",418,
Jan Morforth,USA,Peanut Butter Cubes,19/01/2021,"$8,043 ",123,
Kelci Walkden,Australia,Spicy Special Slims,19/01/2021,"$9,702 ",235,
Beverie Moffet,India,After Nines,19/01/2021,"$9,107 ",262,
Gunar Cockshoot,Canada,After Nines,19/01/2021,"$1,218 ",1120,
Barr Faughny,UK,Spicy Special Slims,19/01/2021,"$1,680 ",139,
Dotty Strutley,Canada,Orange Choco,19/01/2021,"$1,295 ",63,
Andria Kimpton,India,Fruit & Nut Bars,19/01/2021,"$2,625 ",163,
Curtice Advani,UK,99% Dark & Pure,19/01/2021,"$1,939 ",341,
Ches Bonnell,USA,Smooth Sliky Salty,19/01/2021,"$1,575 ",267,
Dennison Crosswaite,Canada,50% Dark Bites,19/01/2021,"$4,690 ",268,
Karlen McCaffrey,New Zealand,Drinking Coco,19/01/2021,"$4,606 ",298,
Curtice Advani,UK,Choco Coated Almonds,20/01/2021,"$1,659 ",137,
Barr Faughny,UK,Choco Coated Almonds,20/01/2021,"$2,576 ",132,
Dennison Crosswaite,New Zealand,Fruit & Nut Bars,20/01/2021,$413 ,151,
Kelci Walkden,USA,Milk Bars,20/01/2021,$819 ,106,
Karlen McCaffrey,Canada,Peanut Butter Cubes,20/01/2021,"$5,117 ",43,
Ches Bonnell,Australia,Caramel Stuffed Bars,20/01/2021,"$4,186 ",137,
Curtice Advani,UK,Manuka Honey Choco,20/01/2021,"$4,452 ",34,
Brien Boise,Australia,Peanut Butter Cubes,20/01/2021,"$3,556 ",66,
Gigi Bohling,USA,Organic Choco Syrup,20/01/2021,"$4,767 ",308,
Husein Augar,New Zealand,Peanut Butter Cubes,20/01/2021,"$6,629 ",139,
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,20/01/2021,"$5,915 ",910,
Wilone O'Kielt,Canada,Mint Chip Choco,20/01/2021,"$1,358 ",208,
Husein Augar,USA,Peanut Butter Cubes,20/01/2021,"$9,331 ",215,
Kelci Walkden,Canada,Raspberry Choco,20/01/2021,$84 ,59,
Kaine Padly,UK,White Choc,20/01/2021,"$12,894 ",126,
Wilone O'Kielt,Australia,Raspberry Choco,20/01/2021,"$2,296 ",9,
Rafaelita Blaksland,UK,Peanut Butter Cubes,20/01/2021,$91 ,473,
Kelci Walkden,UK,Choco Coated Almonds,20/01/2021,"$6,405 ",373,
Husein Augar,New Zealand,Eclairs,20/01/2021,"$4,550 ",36,
Barr Faughny,USA,Spicy Special Slims,21/01/2021,"$7,014 ",180,
Kelci Walkden,UK,Organic Choco Syrup,21/01/2021,"$6,979 ",164,
Ches Bonnell,UK,85% Dark Bars,21/01/2021,"$8,344 ",248,
Kelci Walkden,New Zealand,Raspberry Choco,21/01/2021,"$2,793 ",150,
Karlen McCaffrey,UK,Almond Choco,21/01/2021,"$3,143 ",99,
Andria Kimpton,New Zealand,Baker's Choco Chips,21/01/2021,$504 ,347,
Karlen McCaffrey,India,Baker's Choco Chips,21/01/2021,$868 ,77,
Husein Augar,India,Smooth Sliky Salty,21/01/2021,"$3,143 ",75,
Oby Sorrel,USA,Orange Choco,21/01/2021,"$4,893 ",840,
Marney O'Breen,Canada,Eclairs,21/01/2021,"$1,547 ",276,
Ches Bonnell,Canada,Fruit & Nut Bars,21/01/2021,"$4,200 ",188,
Wilone O'Kielt,Australia,Fruit & Nut Bars,21/01/2021,"$1,778 ",95,
Barr Faughny,USA,99% Dark & Pure,21/01/2021,"$10,675 ",184,
Dotty Strutley,USA,Drinking Coco,21/01/2021,$973 ,145,
Dennison Crosswaite,UK,50% Dark Bites,21/01/2021,"$2,310 ",44,
Kelci Walkden,India,Peanut Butter Cubes,21/01/2021,$217 ,333,
Rafaelita Blaksland,New Zealand,After Nines,21/01/2021,"$3,451 ",378,
Marney O'Breen,USA,Caramel Stuffed Bars,21/01/2021,"$4,277 ",60,
Rafaelita Blaksland,UK,Spicy Special Slims,21/01/2021,"$7,294 ",616,
Kaine Padly,New Zealand,After Nines,22/01/2021,"$8,365 ",238,
Husein Augar,India,Caramel Stuffed Bars,22/01/2021,"$9,982 ",403,
Gunar Cockshoot,New Zealand,White Choc,22/01/2021,"$2,849 ",345,
Madelene Upcott,New Zealand,50% Dark Bites,22/01/2021,"$1,519 ",188,
Karlen McCaffrey,New Zealand,50% Dark Bites,22/01/2021,"$1,106 ",438,
Beverie Moffet,Australia,Milk Bars,22/01/2021,"$2,695 ",524,
Dennison Crosswaite,USA,Milk Bars,22/01/2021,"$3,108 ",700,
Brien Boise,Canada,Milk Bars,22/01/2021,"$3,115 ",243,
Dennison Crosswaite,New Zealand,50% Dark Bites,22/01/2021,"$2,471 ",163,
Oby Sorrel,Canada,White Choc,22/01/2021,"$5,817 ",365,
Dennison Crosswaite,India,Manuka Honey Choco,22/01/2021,"$1,309 ",514,
Rafaelita Blaksland,USA,Almond Choco,22/01/2021,"$5,768 ",98,
Brien Boise,New Zealand,Spicy Special Slims,22/01/2021,"$2,681 ",117,
